name,z_lens,z_source,sigma_v,sigma_v_error,theta_E,theta_E_error,gamma,gamma_error,r_eff,r_eff_error,light_model,r_sersic_1,n_sersic_1,amp_sersic_1,r_sersic_2,n_sersic_2,amp_sersic_2
SDSSJ1204+0358,0.1639999999999999,0.631,250.61445638968988,12.436069663952443,1.294818986879498,0.002464768017504,2.0237109114170617,0.054271847522864694,1.544,0.031137989658935914,double_sersic,0.9033546844742568,4.0,5.240864188411569,2.821608968988738,1.0,0.566274517572681
SDSSJ1213+6708,0.123,0.64,267.42280540025087,7.397096281685068,1.4511222361092917,0.0048030699829125,1.706942029725382,0.21841882695533882,2.771,0.05550113872705676,double_sersic,1.1119837950079263,4.0,8.097223917893595,4.835036515861224,1.0,0.7921091914026686
SDSSJ1218+0830,0.135,0.7170000000000001,221.87971898114688,6.8097614691659345,1.488816882209555,0.0076600506089784005,1.9614172123057672,0.10173774651473468,3.506,0.07319709283844544,double_sersic,2.217516013279392,4.0,2.8504653416838828,8.38016927645052,1.0,0.1397338765396037
SDSSJ1250+0523,0.232,0.795,242.30572722250548,10.291972571527877,1.12009508419343,0.00116278231463335,2.1805092080218778,0.0894929908290116,1.748,0.03518808889382883,single_sersic,1.7493581234611373,4.0,18.224783291922364,,,
SDSSJ1306+0600,0.173,0.472,247.96141699825856,13.55677434499617,1.3121671321554214,0.00642044729764215,1.9747987835420135,0.06777926165069341,2.369,0.0477583961204729,single_sersic,2.37157918959984,4.0,1.3273217694441997,,,
SDSSJ1313+4615,0.185,0.514,258.8691589353227,12.695142021774785,1.2898465374241177,0.00585836226988885,2.17692512944845,0.08526680330136684,2.17,0.04368706902505592,single_sersic,2.1711180758050075,4.0,1.810464278330016,,,
SDSSJ1402+6321,0.205,0.481,273.86561033751246,11.055306010510629,1.3705012966563523,0.0026738854242006,1.5674392837031994,0.30034983254261294,2.72,0.05472988214860325,single_sersic,2.7213972510756506,4.0,11.0363131081264,,,
SDSSJ1531-0105,0.16,0.7440000000000001,261.317175878393,10.229606469054199,1.712245943197106,0.00686430384589615,2.0654242669900693,0.255382609591168,3.416,0.0709127802303647,double_sersic,1.651398357336714,4.0,3.2263378327673147,8.085098230856984,1.0,0.1482515885329183
SDSSJ1621+3931,0.245,0.602,233.9025254293011,14.559588840067125,1.266226029523218,0.0037911411518296,2.0245484001251857,0.0709587248063097,2.402,0.04870155644330067,double_sersic,1.1763775976423014,4.0,2.6928092086550146,4.701742942399949,1.0,0.2158047698952627
SDSSJ1627-0053,0.208,0.524,274.2660966613498,10.596846134632166,1.220765442806839,0.0007378922997611,1.929324422579037,0.13565013489667593,2.981,0.0807761994649414,double_sersic,1.2359239259796988,4.0,19.230466943666677,6.865504102702223,1.0,0.8364101556820546
SDSSJ1630+4520,0.248,0.7929999999999999,282.871020976304,13.091889840485585,1.791425972906894,0.00133566741222775,1.9235314082730963,0.0859574542500684,2.012,0.04061413054590729,single_sersic,2.012298030487452,4.0,11.873654979352724,,,
SDSSJ1636+4707,0.228,0.675,223.12891159860862,10.282130589983772,1.0841790566920977,0.0024902157640902,1.7535988162905762,0.17168026082289517,1.837,0.036862278822666406,single_sersic,1.8374888725543672,4.0,1.6492554900226468,,,
SDSSJ2238-0754,0.1369999999999999,0.713,225.7605759806321,8.198846790347613,1.2696663616874388,0.00098619882387435,2.3369231829487784,0.12720764582926836,2.52,0.05064740862077743,single_sersic,2.519016244952205,4.0,16.467899526593172,,,
SDSSJ2300+0022,0.228,0.463,299.6935370056495,13.348628892538045,1.2319745353520153,0.0036651076066497998,1.6632582889104115,0.22114798604219532,1.815,0.03696877060438986,single_sersic,1.814653394232175,4.0,11.013489128833085,,,
SDSSJ2302-0840,0.09,0.222,259.01450021189913,6.226636381501641,1.0376456970235093,0.0013729062873085,2.5952318284785987,0.0857832335847689,4.199,0.0909815387867231,double_sersic,1.5737183331798767,4.0,6.627190681170273,10.10381061586935,1.0,0.2301932005152109
SDSSJ2303+1422,0.155,0.517,250.78147232933992,12.575500585286061,1.6224272502517825,0.00194049951643185,1.9357267053355467,0.07914392529251768,3.64,0.07329454277093214,single_sersic,3.6398331768245993,4.0,7.117140191961997,,,
SDSSJ2343-0030,0.181,0.463,254.56182178468873,8.698907232281513,1.5058381642200669,0.00197852551471475,2.1635269436494005,0.1251985614984774,2.372,0.047652949541450204,single_sersic,2.3724156140355834,4.0,1.5829094445811105,,,
SDSSJ2347-0005,0.417,0.7140000000000001,404.0,59.0,1.077464146110116,0.0047810729607134506,1.9793780479017515,0.07272132946287609,1.441,0.029437941504120158,single_sersic,1.4405899438870715,4.0,0.8470843990617536,,,
