,name,z_lens,z_source,sigma_v_error,sigma_v,slit radius,seeing,slit,width
47,SDSSJ1644+2625,0.1369999999999999,0.61,8.0,208.0,1.5,1.4,,
48,SDSSJ2238-0754,0.1369999999999999,0.713,8.0,225.0,1.5,1.4,,
49,SDSSJ2300+0022,0.228,0.463,13.0,299.0,1.5,1.4,,
50,SDSSJ2302-0840,0.09,0.222,6.0,259.0,1.5,1.4,,
51,SDSSJ2303+1422,0.155,0.517,12.0,250.0,1.5,1.4,,
52,SDSSJ2321-0939,0.0819999999999999,0.532,5.0,239.0,1.5,1.4,,
53,SDSSJ2341+0000,0.186,0.807,9.0,212.0,1.5,1.4,,
54,SDSSJ2343-0030,0.181,0.463,8.0,254.0,1.5,1.4,,
55,SDSSJ2347-0005,0.417,0.7140000000000001,0.0,0.0,1.5,1.4,,
0,SL2SJ0208-0714,0.428,-1.0,27.0,295.0,,,1.0,1.62
1,SL2SJ0213-0743,0.7170000000000001,3.48,34.0,293.0,,,1.0,1.68
2,SL2SJ0214-0405,0.609,1.88,47.0,287.0,,,1.0,1.88
3,SL2SJ0217-0513,0.6459999999999999,1.85,27.0,239.0,,,1.5,1.68
4,SL2SJ0219-0829,0.389,2.15,23.0,289.0,,,1.0,1.68
5,SL2SJ0223-0651,0.473,-1.0,27.0,312.0,,,1.0,1.64
6,SL2SJ0225-0454,0.238,1.2,21.0,234.0,,,1.0,0.81
7,SL2SJ0226-0406,0.7659999999999999,-1.0,24.0,333.0,,,1.5,1.68
8,SL2SJ0226-0420,0.494,1.23,24.0,263.0,,,1.0,1.62
9,SL2SJ0232-0408,0.352,2.34,26.0,281.0,,,1.0,1.68
10,SL2SJ0849-0251,0.274,2.09,35.0,276.0,,,0.9,1.6
11,SL2SJ0849-0412,0.722,1.54,24.0,320.0,,,0.9,1.6
12,SL2SJ0858-0143,0.58,-1.0,25.0,233.0,,,1.0,1.62
13,SL2SJ0901-0259,0.67,1.19,-1.0,-1.0,,,0.9,1.6
14,SL2SJ0904-0059,0.611,2.36,21.0,183.0,,,0.9,1.6
15,SL2SJ0959+0206,0.552,3.35,22.0,188.0,,,0.9,1.6
16,SL2SJ1358+5459,0.51,-1.0,22.0,287.0,,,1.0,1.62
17,SL2SJ1359+5535,0.7829999999999999,2.77,29.0,228.0,,,1.0,1.62
18,SL2SJ1401+5544,0.464,-1.0,22.0,297.0,,,1.0,1.62
19,SL2SJ1401+5557,0.527,-1.0,25.0,332.0,,,1.5,3.36
20,SL2SJ1402+5505,0.412,-1.0,-1.0,-1.0,,,,
21,SL2SJ1405+5243,0.526,3.01,21.0,284.0,,,1.0,1.62
22,SL2SJ1405+5502,-1.0,-1.0,-1.0,-1.0,,,,
23,SL2SJ1406+5226,0.716,1.47,19.0,253.0,,,1.0,1.62
24,SL2SJ1411+5651,0.322,1.42,23.0,214.0,,,1.0,1.62
25,SL2SJ1419+5117,-1.0,-1.0,-1.0,-1.0,,,,
26,SL2SJ1420+5258,0.38,0.99,23.0,246.0,,,1.0,1.62
27,SL2SJ1420+5630,0.483,3.12,19.0,228.0,,,1.0,1.62
28,SL2SJ1423+5722,-1.0,-1.0,-1.0,-1.0,,,,
29,SL2SJ1427+5516,0.511,2.58,-1.0,-1.0,,,1.0,1.62
30,SL2SJ2203+0205,0.4,2.15,21.0,213.0,,,1.0,1.62
31,SL2SJ2213-0009,0.338,3.45,20.0,165.0,,,1.0,1.62
32,SL2SJ2214-1807,0.6509999999999999,-1.0,24.0,200.0,,,1.0,1.68
0,SDSSJ0151+0049,0.5171,1.3636,39.0,219.0,1.0,1.3,,
1,SDSSJ0747+5055,0.4384,0.8983,60.0,328.0,1.0,1.3,,
2,SDSSJ0747+4448,0.4366,0.8966,52.0,281.0,1.0,1.3,,
3,SDSSJ0801+4727,0.4831,1.5181,24.0,98.0,1.0,1.3,,
4,SDSSJ0830+5116,0.5301,1.3317,36.0,268.0,1.0,1.3,,
5,SDSSJ0944-0147,0.539,1.1785,34.0,204.0,1.0,1.3,,
6,SDSSJ1159-0007,0.5793,1.3457,41.0,165.0,1.0,1.3,,
7,SDSSJ1215+0047,0.6423,1.297,45.0,262.0,1.0,1.3,,
8,SDSSJ1221+3806,0.5348,1.2844,48.0,187.0,1.0,1.3,,
9,SDSSJ1234-0241,0.49,1.0159,31.0,122.0,1.0,1.3,,
10,SDSSJ1318-0104,0.6591,1.3959,27.0,177.0,1.0,1.3,,
11,SDSSJ1337+3620,0.5643,1.1821,35.0,225.0,1.0,1.3,,
12,SDSSJ1349+3612,0.4396,0.8926,18.0,178.0,1.0,1.3,,
13,SDSSJ1352+3216,0.4634,1.0341,21.0,161.0,1.0,1.3,,
14,SDSSJ1522+2910,0.5553,1.3108,27.0,166.0,1.0,1.3,,
15,SDSSJ1541+1812,0.5603,1.1133,24.0,174.0,1.0,1.3,,
16,SDSSJ1542+1629,0.3521,1.0233,16.0,210.0,1.0,1.3,,
17,SDSSJ1545+2748,0.5218,1.2886,37.0,250.0,1.0,1.3,,
18,SDSSJ1601+2138,0.5435,1.4461,36.0,207.0,1.0,1.3,,
19,SDSSJ1611+1705,0.4766,1.2109,23.0,109.0,1.0,1.3,,
20,SDSSJ1631+1854,0.4081,1.0863,14.0,272.0,1.0,1.3,,
21,SDSSJ1637+1439,0.391,0.8744,30.0,208.0,1.0,1.3,,
22,SDSSJ2122+0409,0.6261,1.4517,56.0,324.0,1.0,1.3,,
23,SDSSJ2125+0411,0.3632,0.9777,17.0,247.0,1.0,1.3,,
24,SDSSJ2303+0037,0.4582,0.9363,31.0,274.0,1.0,1.3,,
